Nomber of atoms =  6
Atoms =  ['O', 'N', 'CH3', 'C', 'H', 'H']
Valence electrons =  [6, 5, 1, 4, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  169,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 4], [2, 3], [3, 3]]
  170,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 3], [2, 3], [4, 4]]
  171,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 3], [1, 4], [3, 3]]
  172,  [[0, 0], [0, 1], [0, 3], [1, 1], [1, 3], [1, 4], [2, 3], [3, 3]]
  173,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 4], [2, 3], [3, 5]]
  174,  [[0, 0], [0, 1], [0, 3], [1, 1], [1, 3], [1, 3], [2, 3], [4, 4]]
  175,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 3], [2, 3], [4, 5]]
  176,  [[0, 0], [0, 2], [0, 3], [1, 1], [1, 3], [1, 3], [1, 4], [3, 3]]
  177,  [[0, 0], [0, 0], [0, 3], [1, 2], [1, 3], [1, 3], [1, 4], [3, 3]]
  178,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 3], [1, 4], [3, 5]]
  179,  [[0, 3], [0, 3], [0, 4], [1, 1], [1, 1], [1, 5], [2, 3], [3, 3]]
  180,  [[0, 3], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [2, 3], [5, 5]]
  181,  [[0, 3], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 5], [3, 3]]
  182,  [[0, 1], [0, 3], [0, 4], [1, 1], [1, 1], [1, 5], [2, 3], [3, 3]]
  183,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 5], [3, 3], [3, 3]]
  184,  [[0, 1], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [2, 3], [5, 5]]
  185,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [3, 3], [5, 5]]
  186,  [[0, 2], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 5], [3, 3]]
  187,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 2], [1, 3], [1, 5], [3, 3]]
  188,  [[0, 1], [0, 3], [0, 4], [1, 1], [1, 3], [2, 3], [3, 3], [5, 5]]
  189,  [[0, 1], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [3, 3], [5, 5]]
  190,  [[0, 2], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [3, 3], [5, 5]]
  191,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [2, 5], [3, 3]]
  192,  [[0, 0], [0, 0], [0, 1], [1, 3], [1, 4], [1, 5], [2, 3], [3, 3]]
  193,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 4], [2, 3], [3, 3], [3, 3]]
  194,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 3], [2, 3], [3, 3], [4, 4]]
  195,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 3], [1, 4], [3, 3], [3, 3]]
  196,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 3], [1, 4], [2, 3], [3, 5]]
  197,  [[0, 1], [0, 1], [0, 4], [1, 1], [1, 5], [2, 3], [3, 3], [3, 3]]
  198,  [[0, 1], [0, 1], [0, 4], [1, 1], [1, 3], [2, 3], [3, 3], [5, 5]]
  199,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 3], [3, 3], [3, 3], [5, 5]]
