Nomber of atoms =  8
Atoms =  ['O', 'O', 'CH3', 'C', 'C', 'H', 'H', 'H']
Valence electrons =  [6, 6, 1, 4, 4, 1, 1, 1]
Fixed electrons =  [[0, 0], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
   99,  [[0, 0], [0, 3], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 3], [4, 4], [4, 7]]
  100,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 3], [4, 4], [4, 4]]
  101,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 7], [2, 4], [3, 3], [3, 4], [4, 4]]
  102,  [[0, 0], [0, 3], [0, 3], [1, 5], [1, 6], [1, 7], [2, 4], [3, 3], [3, 4], [4, 4]]
  103,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [3, 7], [4, 4]]
  104,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 3], [2, 4], [3, 4], [4, 4], [7, 7]]
  105,  [[0, 0], [0, 3], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 4], [4, 4], [7, 7]]
  106,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 4], [2, 4], [3, 4], [4, 4], [7, 7]]
  107,  [[0, 0], [0, 3], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 4], [4, 4], [7, 7]]
  108,  [[0, 0], [0, 3], [0, 5], [1, 1], [1, 3], [1, 6], [2, 4], [3, 4], [3, 4], [4, 7]]
  109,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 3], [2, 4], [3, 4], [3, 4], [4, 5]]
  110,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 5], [3, 4], [3, 4], [4, 4], [4, 6]]
  111,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 5], [2, 4], [3, 3], [3, 4], [4, 6]]
  112,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 5], [2, 4], [3, 4], [4, 4], [4, 6]]
  113,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 5], [2, 4], [3, 4], [3, 4], [4, 4]]
  114,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 5], [2, 4], [3, 4], [3, 4], [6, 6]]
  115,  [[0, 0], [0, 2], [0, 3], [1, 3], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [4, 7]]
  116,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [3, 3], [3, 4], [4, 4], [4, 7]]
  117,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [7, 7]]
  118,  [[0, 0], [0, 3], [0, 4], [1, 3], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 7]]
  119,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 3], [4, 4], [4, 7]]
  120,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 4]]
  121,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 4], [4, 4], [7, 7]]
  122,  [[0, 0], [0, 3], [0, 5], [1, 3], [1, 6], [1, 7], [2, 4], [3, 4], [3, 4], [4, 4]]
  123,  [[0, 0], [0, 3], [0, 4], [1, 3], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [7, 7]]
  124,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 6], [3, 4], [3, 4], [4, 4], [4, 7]]
  125,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 6], [2, 4], [3, 3], [3, 4], [4, 7]]
  126,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 6], [2, 4], [3, 4], [3, 4], [4, 4]]
  127,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 6], [2, 4], [3, 4], [3, 4], [7, 7]]
  128,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 4], [2, 3], [3, 4], [3, 6], [4, 4]]
  129,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 4], [1, 5], [2, 4], [3, 3], [3, 4], [4, 6]]
  130,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 5], [3, 3], [3, 4], [4, 4], [4, 6]]
  131,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 5], [2, 4], [3, 4], [3, 6], [4, 7]]
  132,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 5], [2, 4], [3, 3], [3, 4], [4, 4]]
  133,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 2], [1, 3], [3, 4], [3, 4], [4, 4], [4, 6]]
  134,  [[0, 0], [0, 2], [0, 3], [1, 1], [1, 5], [1, 6], [3, 3], [3, 4], [4, 4], [4, 7]]
  135,  [[0, 0], [0, 2], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [3, 4], [3, 4], [4, 7]]
  136,  [[0, 0], [0, 2], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [7, 7]]
  137,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 2], [1, 5], [3, 4], [3, 4], [4, 4], [4, 6]]
  138,  [[0, 0], [0, 0], [0, 3], [1, 2], [1, 5], [1, 6], [3, 3], [3, 4], [4, 4], [4, 7]]
  139,  [[0, 0], [0, 0], [0, 3], [1, 2], [1, 5], [1, 6], [3, 4], [3, 4], [3, 4], [4, 7]]
  140,  [[0, 0], [0, 0], [0, 3], [1, 2], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [7, 7]]
  141,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 5], [1, 6], [3, 3], [3, 4], [3, 7], [4, 4]]
  142,  [[0, 0], [0, 0], [0, 3], [1, 4], [1, 5], [1, 6], [3, 3], [3, 4], [4, 4], [4, 7]]
  143,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 3], [3, 4], [4, 4], [4, 7]]
  144,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [3, 3], [3, 4], [3, 4], [4, 7]]
  145,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [3, 3], [3, 4], [4, 4], [4, 4]]
  146,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 5], [3, 4], [3, 4], [3, 4], [4, 6]]
  147,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [3, 4], [3, 4], [4, 4]]
  148,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [3, 4], [3, 4], [7, 7]]
  149,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 5], [1, 6], [3, 3], [3, 4], [3, 4], [7, 7]]
  150,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 7], [3, 4], [3, 4], [4, 4]]
  151,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [3, 4], [3, 7], [4, 4]]
  152,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 5], [1, 6], [2, 3], [3, 7], [4, 4], [4, 4]]
  153,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 5], [1, 6], [2, 3], [3, 3], [3, 4], [4, 4]]
  154,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 5], [1, 6], [2, 3], [3, 4], [4, 4], [7, 7]]
  155,  [[0, 0], [0, 0], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 3], [3, 3], [4, 7]]
  156,  [[0, 0], [0, 0], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 4]]
  157,  [[0, 0], [0, 0], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [7, 7]]
  158,  [[0, 0], [0, 3], [0, 5], [1, 1], [1, 6], [1, 7], [2, 4], [3, 3], [3, 4], [4, 4]]
  159,  [[0, 0], [0, 0], [0, 3], [1, 5], [1, 6], [1, 7], [2, 4], [3, 3], [3, 4], [4, 4]]
  160,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [3, 7], [4, 4]]
  161,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [3, 4]]
  162,  [[0, 0], [0, 3], [0, 5], [1, 1], [1, 6], [1, 7], [2, 4], [3, 4], [3, 4], [3, 4]]
  163,  [[0, 0], [0, 0], [0, 3], [1, 5], [1, 6], [1, 7], [2, 4], [3, 4], [3, 4], [3, 4]]
  164,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 5], [2, 4], [3, 4], [3, 4], [3, 4]]
  165,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 4], [2, 3], [3, 4], [3, 4], [6, 6]]
  166,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 5], [1, 6], [2, 3], [3, 4], [3, 4], [4, 7]]
  167,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 4], [1, 5], [2, 4], [3, 4], [3, 4], [6, 6]]
  168,  [[0, 0], [0, 0], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [3, 7]]
  169,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 5], [2, 4], [3, 4], [3, 4], [3, 6]]
  170,  [[0, 0], [0, 2], [0, 5], [1, 3], [1, 3], [1, 6], [3, 4], [3, 4], [4, 4], [4, 7]]
  171,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [3, 3], [3, 4], [4, 4], [4, 7]]
  172,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [3, 4], [3, 4], [4, 4], [7, 7]]
  173,  [[0, 0], [0, 3], [0, 5], [1, 4], [1, 4], [1, 6], [2, 3], [3, 4], [3, 7], [4, 4]]
  174,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [2, 4], [3, 3], [4, 4], [4, 7]]
  175,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [2, 4], [3, 3], [3, 4], [4, 4]]
  176,  [[0, 0], [0, 3], [0, 5], [1, 3], [1, 3], [1, 6], [2, 4], [3, 4], [4, 4], [4, 7]]
  177,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [2, 4], [3, 4], [4, 4], [7, 7]]
  178,  [[0, 0], [0, 3], [0, 5], [1, 4], [1, 4], [1, 6], [2, 3], [3, 4], [3, 4], [7, 7]]
  179,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 3], [1, 3], [3, 4], [3, 4], [4, 4], [4, 5]]
  180,  [[0, 0], [0, 2], [0, 5], [1, 1], [1, 3], [1, 3], [3, 3], [3, 4], [4, 4], [4, 6]]
  181,  [[0, 0], [0, 2], [0, 5], [1, 1], [1, 3], [1, 3], [3, 4], [3, 4], [4, 6], [4, 7]]
  182,  [[0, 0], [0, 2], [0, 5], [1, 1], [1, 3], [1, 3], [3, 4], [3, 4], [4, 4], [6, 6]]
  183,  [[0, 0], [0, 0], [0, 5], [1, 2], [1, 3], [1, 3], [3, 3], [3, 4], [4, 4], [4, 6]]
  184,  [[0, 0], [0, 0], [0, 5], [1, 2], [1, 3], [1, 3], [3, 4], [3, 4], [4, 6], [4, 7]]
  185,  [[0, 0], [0, 0], [0, 5], [1, 2], [1, 3], [1, 3], [3, 4], [3, 4], [4, 4], [6, 6]]
  186,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 4], [1, 5], [3, 3], [3, 4], [4, 4], [4, 6]]
  187,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 3], [3, 4], [4, 4], [4, 6]]
  188,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [3, 4], [3, 6], [4, 4], [4, 7]]
  189,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [3, 3], [4, 4], [4, 4], [4, 6]]
  190,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [3, 3], [3, 4], [4, 6], [4, 7]]
  191,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 5], [3, 4], [3, 4], [4, 6], [4, 7]]
  192,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [3, 4], [4, 4], [4, 6], [4, 7]]
  193,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [3, 4], [3, 4], [4, 6], [7, 7]]
  194,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 4], [1, 5], [3, 4], [3, 4], [4, 4], [6, 6]]
  195,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 6], [3, 4], [3, 4], [4, 4]]
  196,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [3, 4], [3, 4], [4, 4], [6, 7]]
  197,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 4], [1, 4], [2, 3], [3, 4], [3, 5], [4, 4]]
