Nomber of atoms =  9
Atoms =  ['O', 'N', 'CH3', 'CH3', 'C', 'C', 'H', 'H', 'H']
Valence electrons =  [6, 5, 1, 1, 4, 4, 1, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  132,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [4, 5], [5, 7]]
  133,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 5], [1, 6], [3, 5], [4, 4], [4, 5], [5, 7]]
  134,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 7], [5, 8]]
  135,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [5, 5], [5, 7]]
  136,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [4, 5], [5, 5]]
  137,  [[0, 4], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [5, 5], [5, 7]]
  138,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 4], [1, 6], [3, 5], [4, 5], [5, 5], [5, 7]]
  139,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [5, 7], [5, 8]]
  140,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [5, 5], [7, 7]]
  141,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [7, 7]]
  142,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 5], [1, 6], [3, 5], [4, 5], [4, 5], [7, 7]]
  143,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [7, 8]]
  144,  [[0, 1], [0, 4], [0, 4], [1, 1], [1, 2], [3, 5], [4, 5], [4, 5], [5, 6], [7, 7], [8, 8]]
  145,  [[0, 1], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [4, 5], [4, 5], [5, 5], [5, 7], [8, 8]]
  146,  [[0, 1], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [4, 5], [5, 7], [8, 8]]
  147,  [[0, 1], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [5, 5], [5, 7], [8, 8]]
  148,  [[0, 1], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [5, 5], [7, 7]]
  149,  [[0, 1], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [7, 7], [8, 8]]
  150,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 3], [1, 6], [4, 5], [4, 5], [5, 5], [5, 7], [8, 8]]
  151,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [4, 4], [4, 5], [5, 5], [5, 7], [8, 8]]
  152,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 5], [1, 6], [4, 5], [4, 5], [5, 7], [8, 8]]
  153,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [4, 5], [4, 5], [5, 5], [7, 7], [8, 8]]
  154,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
  155,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [4, 5], [5, 7], [8, 8]]
  156,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 4], [1, 6], [3, 5], [4, 5], [5, 7], [8, 8]]
  157,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [5, 5], [5, 7], [8, 8]]
  158,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [4, 5], [5, 5], [7, 7]]
  159,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [4, 5], [5, 7], [5, 8]]
  160,  [[0, 4], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [5, 5], [5, 7], [8, 8]]
  161,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 5], [1, 6], [3, 5], [4, 5], [5, 7], [8, 8]]
  162,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [5, 5], [7, 7], [8, 8]]
  163,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 7], [5, 5], [5, 8]]
  164,  [[0, 4], [0, 4], [0, 6], [1, 1], [1, 2], [1, 7], [3, 5], [4, 5], [4, 5], [5, 5], [8, 8]]
  165,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [5, 5], [7, 8]]
  166,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [7, 7], [8, 8]]
  167,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 3], [1, 6], [1, 7], [4, 4], [4, 5], [5, 5], [5, 8]]
  168,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 3], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [8, 8]]
  169,  [[0, 0], [0, 4], [0, 4], [1, 2], [1, 3], [1, 6], [1, 7], [4, 4], [4, 5], [5, 5], [5, 8]]
  170,  [[0, 0], [0, 4], [0, 4], [1, 2], [1, 3], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [8, 8]]
  171,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 2], [1, 6], [1, 7], [4, 4], [4, 5], [5, 5], [5, 8]]
  172,  [[0, 0], [0, 4], [0, 4], [1, 2], [1, 5], [1, 6], [1, 7], [4, 4], [4, 5], [5, 5], [5, 8]]
  173,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 4], [4, 5], [5, 5], [5, 8]]
  174,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 4], [5, 5], [5, 5], [5, 8]]
  175,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 4], [4, 5], [5, 5], [5, 5]]
  176,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 2], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [8, 8]]
  177,  [[0, 0], [0, 4], [0, 4], [1, 2], [1, 5], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [8, 8]]
  178,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 5], [5, 5], [5, 5], [8, 8]]
  179,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 8], [4, 5], [4, 5], [5, 5]]
  180,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 4], [5, 5], [5, 8]]
