Nomber of atoms =  11
Atoms =  ['O', 'O', 'N', 'CH3', 'CH3', 'CH3', 'CH2', 'CH2', 'C', 'H', 'H']
Valence electrons =  [6, 6, 5, 1, 1, 1, 2, 2, 4, 1, 1]
Fixed electrons =  [[0, 0], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  140,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 2], [2, 3], [2, 8], [2, 9], [4, 6], [6, 7], [7, 8]]
  141,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 2], [2, 3], [2, 4], [2, 8], [5, 6], [6, 7], [7, 8]]
  142,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 2], [2, 3], [2, 9], [2, 10], [4, 6], [6, 7], [7, 8]]
  143,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 3], [2, 4], [2, 9], [2, 10], [5, 6], [6, 7], [8, 8]]
  144,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 6], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 7], [6, 7], [8, 8]]
  145,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 3], [2, 4], [2, 6], [2, 9], [5, 7], [6, 7], [8, 8]]
  146,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 6], [7, 7], [8, 8]]
  147,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 6], [6, 7], [8, 10]]
  148,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 9], [2, 2], [2, 3], [2, 8], [2, 10], [4, 6], [6, 7], [7, 8]]
  149,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 9], [2, 2], [2, 3], [2, 4], [2, 8], [5, 6], [6, 7], [7, 8]]
  150,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 9], [2, 3], [2, 4], [2, 8], [2, 10], [5, 6], [6, 7], [8, 8]]
  151,  [[0, 0], [0, 3], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 4], [2, 8], [2, 10], [5, 6], [6, 7], [7, 8]]
