Nomber of atoms =  10
Atoms =  ['Ph', 'X', 'M', 'O', 'O', 'O', 'CH2', 'C', 'C', 'H']
Valence electrons =  [3, 7, 1, 6, 6, 6, 2, 4, 4, 1]
Fixed electrons =  [[1, 1], [1, 1], [1, 1], [3, 3], [4, 4], [5, 5]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  126,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 7], [3, 8], [4, 4], [4, 4], [4, 8], [5, 5], [5, 7], [5, 7], [6, 8], [6, 9]]
  127,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 7], [5, 7], [5, 8], [6, 8], [6, 9]]
  128,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 7], [5, 7], [6, 9], [8, 8]]
  129,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 7], [5, 7], [6, 8], [9, 9]]
  130,  [[0, 6], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
  131,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 6], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
  132,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 6], [5, 7], [5, 7], [6, 9], [8, 8]]
  133,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 6], [5, 8], [5, 8], [6, 9], [8, 8]]
  134,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 6], [8, 8]]
  135,  [[0, 6], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
  136,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 6], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
  137,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 6], [5, 7], [5, 7], [6, 8], [9, 9]]
  138,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 6], [5, 8], [5, 8], [6, 8], [9, 9]]
  139,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 6], [9, 9]]
