Nomber of atoms =  8
Atoms =  ['X', 'X', 'CH3', 'CH3', 'C', 'C', 'H', 'H']
Valence electrons =  [7, 7, 1, 1, 4, 4, 1, 1]
Fixed electrons =  [[0, 0], [0, 0], [0, 0], [1, 1], [1, 1], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  205,  [[0, 2], [1, 4], [3, 5], [4, 4], [4, 5], [4, 6], [5, 7]]
  206,  [[0, 2], [1, 4], [3, 5], [4, 5], [4, 6], [5, 5], [5, 7]]
  207,  [[0, 2], [1, 4], [3, 5], [4, 5], [4, 5], [5, 6], [7, 7]]
  208,  [[0, 2], [1, 4], [3, 5], [4, 5], [4, 5], [4, 6], [5, 5]]
  209,  [[0, 2], [1, 4], [3, 5], [4, 5], [4, 5], [4, 6], [7, 7]]
  210,  [[0, 2], [1, 4], [3, 5], [4, 4], [4, 4], [5, 5], [5, 6]]
  211,  [[0, 2], [1, 4], [3, 5], [4, 4], [4, 5], [5, 6], [5, 7]]
  212,  [[0, 2], [1, 4], [3, 5], [4, 4], [4, 5], [5, 5], [6, 6]]
  213,  [[0, 2], [1, 4], [3, 5], [4, 5], [4, 5], [4, 5], [6, 6]]
  214,  [[0, 2], [1, 4], [3, 5], [4, 4], [4, 5], [4, 5], [6, 7]]
  215,  [[0, 0], [1, 4], [4, 4], [4, 5], [4, 6], [5, 5], [5, 7]]
  216,  [[0, 0], [1, 4], [4, 5], [4, 5], [4, 6], [5, 5], [7, 7]]
  217,  [[0, 4], [1, 5], [2, 4], [4, 5], [4, 6], [5, 5], [5, 7]]
  218,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 6], [5, 5], [5, 7]]
  219,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 5], [5, 6], [7, 7]]
  220,  [[0, 4], [1, 4], [2, 5], [4, 5], [4, 6], [5, 5], [5, 7]]
  221,  [[0, 0], [1, 4], [2, 5], [3, 5], [4, 5], [4, 6], [5, 7]]
  222,  [[0, 0], [1, 4], [2, 5], [4, 5], [4, 6], [5, 5], [7, 7]]
  223,  [[0, 4], [1, 4], [2, 5], [4, 5], [4, 5], [5, 6], [7, 7]]
  224,  [[0, 0], [1, 4], [2, 5], [3, 6], [4, 5], [4, 5], [5, 7]]
  225,  [[0, 0], [1, 4], [2, 5], [3, 5], [4, 5], [4, 5], [4, 6]]
  226,  [[0, 4], [1, 5], [2, 4], [4, 5], [4, 5], [5, 6], [7, 7]]
  227,  [[0, 0], [1, 4], [2, 5], [3, 6], [4, 5], [4, 5], [4, 7]]
  228,  [[0, 4], [1, 4], [2, 5], [3, 5], [4, 4], [4, 5], [5, 6]]
  229,  [[0, 4], [1, 4], [2, 5], [4, 4], [4, 5], [5, 6], [5, 7]]
  230,  [[0, 4], [1, 4], [2, 5], [4, 4], [4, 5], [5, 5], [6, 6]]
  231,  [[0, 4], [1, 5], [2, 4], [4, 4], [4, 6], [5, 5], [5, 5]]
  232,  [[0, 0], [1, 4], [2, 5], [3, 5], [4, 4], [4, 4], [5, 6]]
  233,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 4], [5, 6], [5, 7]]
  234,  [[0, 0], [1, 4], [2, 5], [3, 5], [4, 4], [4, 5], [5, 5]]
  235,  [[0, 0], [1, 4], [2, 5], [3, 5], [4, 4], [4, 5], [6, 6]]
  236,  [[0, 0], [1, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]]
  237,  [[0, 4], [1, 5], [2, 4], [4, 4], [4, 5], [5, 5], [6, 6]]
  238,  [[0, 0], [1, 4], [2, 5], [3, 6], [4, 4], [4, 5], [5, 5]]
  239,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 5], [5, 5], [6, 7]]
  240,  [[0, 2], [1, 4], [3, 4], [4, 5], [4, 6], [5, 5], [5, 7]]
  241,  [[0, 2], [1, 4], [3, 4], [4, 4], [5, 5], [5, 5], [5, 6]]
  242,  [[0, 2], [1, 4], [3, 4], [4, 4], [4, 5], [5, 6], [5, 7]]
  243,  [[0, 2], [1, 4], [3, 4], [4, 4], [4, 5], [5, 5], [5, 5]]
  244,  [[0, 2], [1, 4], [3, 4], [4, 5], [5, 5], [5, 6], [5, 7]]
  245,  [[0, 2], [1, 4], [3, 4], [4, 5], [4, 5], [5, 6], [7, 7]]
  246,  [[0, 2], [1, 4], [3, 4], [4, 5], [5, 5], [5, 5], [6, 6]]
  247,  [[0, 2], [1, 4], [3, 4], [4, 5], [4, 5], [5, 5], [6, 7]]
  248,  [[0, 4], [1, 5], [2, 4], [3, 4], [4, 5], [5, 5], [5, 6]]
  249,  [[0, 4], [1, 5], [2, 4], [4, 4], [4, 5], [5, 6], [5, 7]]
  250,  [[0, 0], [1, 4], [2, 4], [3, 4], [5, 5], [5, 5], [5, 6]]
  251,  [[0, 0], [1, 4], [2, 4], [3, 4], [4, 5], [5, 6], [5, 7]]
  252,  [[0, 0], [1, 4], [2, 4], [3, 4], [4, 5], [5, 5], [5, 5]]
  253,  [[0, 0], [1, 4], [2, 4], [4, 6], [5, 5], [5, 5], [5, 7]]
  254,  [[0, 0], [1, 4], [2, 4], [4, 5], [5, 5], [5, 6], [7, 7]]
  255,  [[0, 4], [1, 4], [2, 4], [4, 4], [5, 5], [5, 5], [5, 6]]
  256,  [[0, 0], [1, 4], [2, 4], [4, 4], [5, 5], [5, 6], [5, 7]]
  257,  [[0, 0], [1, 1], [4, 4], [4, 5], [4, 5], [5, 6], [5, 7]]
  258,  [[0, 4], [1, 4], [2, 4], [4, 5], [5, 5], [5, 6], [5, 7]]
  259,  [[0, 0], [1, 4], [2, 4], [3, 6], [4, 5], [4, 5], [5, 7]]
  260,  [[0, 4], [1, 5], [2, 4], [3, 6], [4, 5], [4, 5], [5, 5]]
  261,  [[0, 4], [1, 5], [2, 4], [4, 5], [4, 5], [5, 5], [6, 7]]
  262,  [[0, 0], [1, 4], [2, 6], [4, 4], [4, 5], [4, 5], [5, 5]]
  263,  [[0, 0], [1, 4], [2, 4], [3, 6], [4, 5], [5, 5], [5, 5]]
  264,  [[0, 0], [1, 1], [2, 4], [4, 5], [4, 5], [5, 5], [6, 7]]
  265,  [[0, 0], [1, 4], [4, 4], [4, 5], [4, 5], [5, 5], [6, 7]]
  266,  [[0, 0], [1, 4], [2, 4], [4, 5], [5, 5], [5, 5], [6, 7]]
  267,  [[0, 4], [1, 5], [2, 4], [3, 5], [4, 4], [4, 6], [5, 7]]
